относительная компактность,площадь поверхности,площадь сплошной стены,зона крыши,общая высота,отопительная нагрузка,отношение стенной площади ко всей площади дома,отношение остекленния ко всей площади дома,отношение площади крыши ко всей площади дома
0.98,514.5,294.0,110.25,1,15.55,0.5714285714285714,0.0,0.21428571428571427
0.98,514.5,294.0,110.25,1,15.55,0.5714285714285714,0.0,0.21428571428571427
0.98,514.5,294.0,110.25,1,15.55,0.5714285714285714,0.0,0.21428571428571427
0.98,514.5,294.0,110.25,1,15.55,0.5714285714285714,0.0,0.21428571428571427
0.9,563.5,318.5,122.5,1,20.84,0.5652173913043478,0.0,0.21739130434782608
0.9,563.5,318.5,122.5,1,21.46,0.5652173913043478,0.0,0.21739130434782608
0.9,563.5,318.5,122.5,1,20.71,0.5652173913043478,0.0,0.21739130434782608
0.9,563.5,318.5,122.5,1,19.68,0.5652173913043478,0.0,0.21739130434782608
0.86,588.0,294.0,147.0,1,19.5,0.5,0.0,0.25
0.86,588.0,294.0,147.0,1,19.95,0.5,0.0,0.25
0.86,588.0,294.0,147.0,1,19.34,0.5,0.0,0.25
0.86,588.0,294.0,147.0,1,18.31,0.5,0.0,0.25
0.82,612.5,318.5,147.0,1,17.05,0.52,0.0,0.24
0.82,612.5,318.5,147.0,1,17.41,0.52,0.0,0.24
0.82,612.5,318.5,147.0,1,16.95,0.52,0.0,0.24
0.82,612.5,318.5,147.0,1,15.98,0.52,0.0,0.24
0.79,637.0,343.0,147.0,1,28.52,0.5384615384615384,0.0,0.23076923076923078
0.79,637.0,343.0,147.0,1,29.9,0.5384615384615384,0.0,0.23076923076923078
0.79,637.0,343.0,147.0,1,29.63,0.5384615384615384,0.0,0.23076923076923078
0.79,637.0,343.0,147.0,1,28.75,0.5384615384615384,0.0,0.23076923076923078
0.76,661.5,416.5,122.5,1,24.77,0.6296296296296297,0.0,0.18518518518518517
0.76,661.5,416.5,122.5,1,23.93,0.6296296296296297,0.0,0.18518518518518517
0.76,661.5,416.5,122.5,1,24.77,0.6296296296296297,0.0,0.18518518518518517
0.76,661.5,416.5,122.5,1,23.93,0.6296296296296297,0.0,0.18518518518518517
0.74,686.0,245.0,220.5,0,6.07,0.35714285714285715,0.0,0.32142857142857145
0.74,686.0,245.0,220.5,0,6.05,0.35714285714285715,0.0,0.32142857142857145
0.74,686.0,245.0,220.5,0,6.01,0.35714285714285715,0.0,0.32142857142857145
0.74,686.0,245.0,220.5,0,6.04,0.35714285714285715,0.0,0.32142857142857145
0.71,710.5,269.5,220.5,0,6.37,0.3793103448275862,0.0,0.3103448275862069
0.71,710.5,269.5,220.5,0,6.4,0.3793103448275862,0.0,0.3103448275862069
0.71,710.5,269.5,220.5,0,6.366,0.3793103448275862,0.0,0.3103448275862069
0.71,710.5,269.5,220.5,0,6.4,0.3793103448275862,0.0,0.3103448275862069
0.69,735.0,294.0,220.5,0,6.85,0.4,0.0,0.3
0.69,735.0,294.0,220.5,0,6.79,0.4,0.0,0.3
0.69,735.0,294.0,220.5,0,6.77,0.4,0.0,0.3
0.69,735.0,294.0,220.5,0,6.81,0.4,0.0,0.3
0.66,759.5,318.5,220.5,0,7.18,0.41935483870967744,0.0,0.2903225806451613
0.66,759.5,318.5,220.5,0,7.1,0.41935483870967744,0.0,0.2903225806451613
0.66,759.5,318.5,220.5,0,7.1,0.41935483870967744,0.0,0.2903225806451613
0.66,759.5,318.5,220.5,0,7.1,0.41935483870967744,0.0,0.2903225806451613
0.64,784.0,343.0,220.5,0,10.85,0.4375,0.0,0.28125
0.64,784.0,343.0,220.5,0,10.54,0.4375,0.0,0.28125
0.64,784.0,343.0,220.5,0,10.77,0.4375,0.0,0.28125
0.64,784.0,343.0,220.5,0,10.56,0.4375,0.0,0.28125
0.62,808.5,367.5,220.5,0,8.6,0.45454545454545453,0.0,0.2727272727272727
0.62,808.5,367.5,220.5,0,8.49,0.45454545454545453,0.0,0.2727272727272727
0.62,808.5,367.5,220.5,0,8.45,0.45454545454545453,0.0,0.2727272727272727
0.62,808.5,367.5,220.5,0,8.5,0.45454545454545453,0.0,0.2727272727272727
0.98,514.5,294.0,110.25,1,24.58,0.5714285714285714,0.00019436345966958212,0.21428571428571427
0.98,514.5,294.0,110.25,1,24.63,0.5714285714285714,0.00019436345966958212,0.21428571428571427
0.98,514.5,294.0,110.25,1,24.63,0.5714285714285714,0.00019436345966958212,0.21428571428571427
0.98,514.5,294.0,110.25,1,24.59,0.5714285714285714,0.00019436345966958212,0.21428571428571427
0.9,563.5,318.5,122.5,1,29.03,0.5652173913043478,0.0001774622892635315,0.21739130434782608
0.9,563.5,318.5,122.5,1,29.87,0.5652173913043478,0.0001774622892635315,0.21739130434782608
0.9,563.5,318.5,122.5,1,29.14,0.5652173913043478,0.0001774622892635315,0.21739130434782608
0.9,563.5,318.5,122.5,1,28.09,0.5652173913043478,0.0001774622892635315,0.21739130434782608
0.86,588.0,294.0,147.0,1,26.28,0.5,0.00017006802721088437,0.25
0.86,588.0,294.0,147.0,1,26.91,0.5,0.00017006802721088437,0.25
0.86,588.0,294.0,147.0,1,26.37,0.5,0.00017006802721088437,0.25
0.86,588.0,294.0,147.0,1,25.27,0.5,0.00017006802721088437,0.25
0.82,612.5,318.5,147.0,1,23.53,0.52,0.00016326530612244898,0.24
0.82,612.5,318.5,147.0,1,24.03,0.52,0.00016326530612244898,0.24
0.82,612.5,318.5,147.0,1,23.54,0.52,0.00016326530612244898,0.24
0.82,612.5,318.5,147.0,1,22.58,0.52,0.00016326530612244898,0.24
0.79,637.0,343.0,147.0,1,35.56,0.5384615384615384,0.00015698587127158556,0.23076923076923078
0.79,637.0,343.0,147.0,1,37.12,0.5384615384615384,0.00015698587127158556,0.23076923076923078
0.79,637.0,343.0,147.0,1,36.9,0.5384615384615384,0.00015698587127158556,0.23076923076923078
0.79,637.0,343.0,147.0,1,35.94,0.5384615384615384,0.00015698587127158556,0.23076923076923078
0.76,661.5,416.5,122.5,1,32.96,0.6296296296296297,0.0001511715797430083,0.18518518518518517
0.76,661.5,416.5,122.5,1,32.12,0.6296296296296297,0.0001511715797430083,0.18518518518518517
0.76,661.5,416.5,122.5,1,32.94,0.6296296296296297,0.0001511715797430083,0.18518518518518517
0.76,661.5,416.5,122.5,1,32.21,0.6296296296296297,0.0001511715797430083,0.18518518518518517
